#time #nb_de_coups
10 1441
20 1319
30 1156
40 996
50 878
60 805
70 722
80 645
90 558
100 476
110 446
120 411
130 350
140 335
150 265
160 267
170 245
180 192
190 166
200 183
210 139
220 155
230 124
240 124
250 104
260 70
270 70
280 76
290 70
300 82
310 74
320 37
330 62
340 29
350 64
360 30
370 32
380 42
390 18
400 47
410 53
420 22
430 43
440 48
450 20
460 11
470 42
480 47
490 39
500 21
510 48
520 31
530 16
540 42
550 31
560 35
570 15
580 3
590 35
600 13
610 12
620 5
630 26
640 33
650 23
660 12
670 6
680 11
690 20
700 6
710 45
720 12
730 18
740 6
750 32
760 45
770 28
780 36
790 14
800 11
810 5
820 11
830 30
840 33
850 38
860 17
870 37
880 32
890 28
900 38
910 35
920 9
930 13
940 43
950 25
960 6
970 21
980 21
990 32
1000 16
1010 0
1020 19
1030 40
1040 6
1050 43
1060 44
1070 43
1080 31
1090 23
1100 31
1110 8
1120 11
1130 23
1140 5
1150 32
1160 7
1170 15
1180 24
1190 12
1200 38
1210 31
1220 18
1230 12
1240 17
1250 12
